,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_0,26.0,68.2,43.7,31.8,79.9,70.3,33.0,143.8,16.8,43.4,140.9,29.7,43.9,142.2,27.5
angles for frame_1,27.8,69.8,46.2,30.1,111.9,35.6,31.6,142.0,14.5,40.7,139.5,27.5,40.1,143.4,26.2
angles for frame_2,27.1,70.3,45.9,31.3,103.2,45.5,32.8,142.1,15.7,43.4,138.3,29.7,42.0,142.7,28.2
angles for frame_3,26.6,69.0,50.2,31.3,85.7,65.5,31.4,144.6,17.1,43.2,140.1,31.8,43.6,141.6,31.9
angles for frame_4,26.6,68.6,47.3,31.7,110.1,37.5,32.3,142.0,14.9,41.8,139.4,28.8,40.6,143.6,27.3
angles for frame_5,24.7,66.4,43.1,31.5,92.0,59.3,32.5,142.1,15.4,43.0,140.0,28.5,44.0,142.4,27.6
angles for frame_6,26.4,68.8,43.0,31.2,107.8,39.2,31.9,141.4,14.2,41.4,139.0,27.5,43.0,141.9,27.4
angles for frame_7,25.9,68.9,45.2,30.5,93.6,55.9,31.0,143.3,14.5,40.5,141.0,28.3,42.5,142.7,28.6
angles for frame_8,28.2,69.9,41.7,30.5,127.4,18.2,30.6,141.6,13.9,38.1,140.9,28.9,39.5,144.4,28.2
angles for frame_9,27.1,69.5,43.6,30.5,117.2,29.1,30.6,142.0,14.5,39.7,140.0,30.0,42.5,142.2,30.6
angles for frame_10,27.6,71.1,53.5,29.3,128.1,21.1,27.7,146.1,14.2,35.4,144.9,29.3,36.7,146.1,27.6
angles for frame_11,26.9,70.9,47.4,30.9,111.0,37.8,31.0,143.5,14.9,40.3,141.0,29.2,40.0,144.3,28.1
angles for frame_12,25.2,69.8,43.3,30.8,118.9,28.8,29.5,143.2,14.0,37.5,142.6,28.3,40.4,143.6,27.6
angles for frame_13,29.6,66.1,51.5,30.8,101.7,50.4,31.5,145.3,17.3,41.5,141.8,30.6,41.8,142.1,29.0
angles for frame_14,31.5,70.3,47.4,30.4,138.8,11.9,28.7,147.0,13.5,33.0,146.6,25.5,36.4,144.0,27.0
angles for frame_15,28.3,69.4,53.3,30.5,134.3,10.6,28.7,146.0,12.0,28.6,153.0,21.0,26.2,153.3,19.9
angles for frame_16,29.5,64.8,54.1,29.4,140.9,10.1,25.8,150.0,12.5,25.3,157.2,18.3,21.3,158.1,15.7
angles for frame_17,28.4,62.2,48.5,28.9,139.1,9.8,24.7,149.1,11.3,23.4,158.0,14.7,21.4,157.9,13.8
angles for frame_18,33.4,43.7,41.9,28.2,71.3,75.2,24.4,141.4,24.5,27.4,153.6,15.0,29.5,152.9,11.2
angles for frame_19,30.0,31.6,49.0,25.8,99.7,44.3,21.6,137.5,21.1,20.3,153.7,12.9,20.9,152.7,11.9
angles for frame_20,34.3,24.4,39.4,28.2,85.5,53.2,22.4,118.2,31.5,17.2,133.1,24.8,16.0,133.4,25.9
angles for frame_21,33.0,20.7,18.3,26.6,41.9,89.3,19.9,70.0,77.2,17.0,54.9,99.2,19.1,33.2,124.7
angles for frame_22,29.5,17.5,0.2,16.2,13.5,1.2,12.1,15.0,2.5,11.5,7.6,6.2,17.4,7.1,11.3
angles for frame_23,27.1,13.1,3.6,12.9,6.8,3.0,9.2,7.7,2.6,9.2,2.9,4.9,16.7,4.3,7.1
angles for frame_24,26.3,10.8,7.6,11.2,5.0,3.2,7.4,5.4,3.2,8.2,2.1,5.3,15.6,4.6,7.4
angles for frame_25,24.6,7.1,10.4,10.0,4.7,3.1,6.4,4.8,3.2,7.1,2.6,5.1,13.4,5.1,7.1
angles for frame_26,25.2,3.0,11.0,10.2,4.1,3.2,5.8,3.9,3.1,7.0,1.9,4.9,12.8,5.1,6.9
angles for frame_27,23.1,5.1,11.6,9.7,4.2,3.4,5.5,3.8,3.4,6.8,2.2,4.8,11.7,5.8,6.5
angles for frame_28,22.3,3.7,11.5,9.5,4.1,3.5,5.3,3.6,3.6,6.9,1.6,4.9,11.2,6.4,6.4
angles for frame_29,23.5,3.8,11.4,8.5,4.3,3.9,4.1,3.9,3.4,6.7,1.6,4.4,11.4,6.6,5.8
angles for frame_30,22.9,2.6,11.5,9.3,4.8,3.7,4.6,4.7,2.3,6.1,3.0,3.7,10.1,5.8,5.4
angles for frame_31,23.1,2.5,11.7,8.3,4.8,3.2,3.9,4.8,1.9,5.4,3.4,3.5,8.3,5.8,5.5
angles for frame_32,23.5,1.4,11.5,7.7,5.1,2.9,4.2,5.1,1.7,5.7,4.0,3.7,9.2,5.4,6.1
angles for frame_33,23.4,2.4,11.2,7.7,5.0,3.0,4.1,5.2,1.7,5.3,4.0,3.5,8.3,5.4,5.8
angles for frame_34,24.4,2.9,12.9,7.0,4.6,2.4,4.1,4.8,1.6,4.8,4.4,3.8,6.7,5.4,6.8
angles for frame_35,24.6,2.8,14.5,8.0,5.0,2.6,4.6,5.3,1.5,5.3,4.5,3.6,6.3,5.2,6.6
angles for frame_36,23.6,3.2,14.2,8.0,5.2,2.5,4.8,5.5,1.5,5.0,4.8,4.0,6.0,5.0,7.2
angles for frame_37,23.5,2.5,12.9,7.6,5.2,2.4,4.4,5.3,1.3,4.7,5.1,4.0,5.7,5.1,7.1
angles for frame_38,24.1,1.9,15.7,7.3,5.6,1.9,4.7,5.8,1.1,5.5,5.8,3.9,7.1,4.2,7.2
angles for frame_39,23.1,2.2,15.1,7.8,6.0,2.1,4.8,6.1,1.2,5.4,6.1,4.2,6.7,4.5,7.3
