,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
0,True,[ 1.80490952e+02  4.01695862e+02 -1.21876167e-04],[225.96497297 364.46723938 -20.57935998],[251.31955147 311.02010727 -31.3422212 ],[215.56385994 274.31613922 -42.01904118],[171.90783978 273.4094429  -49.74124968],[207.08280087 243.98740768  -0.67111556],[198.19267273 196.17816925 -23.77104521],[201.23399734 198.87750626 -35.69192737],[200.86977482 223.94327164 -39.12327468],[169.35979486 257.35519409  -1.03204907],[161.3392067  218.29551697 -26.66664273],[178.1873095  274.06827927 -29.8894161 ],[186.7751956  301.06136322 -23.02200079],[139.27946448 276.22739792  -6.27937317],[131.91096425 249.31201935 -35.27167886],[153.52102876 293.19978714 -28.24178338],[159.65034842 310.41061401 -14.35929313],[108.60347986 301.3983345  -13.21401805],[109.18775082 276.61924362 -29.71229374],[129.26861286 304.45262909 -19.84751388],[135.1124382  317.17863083  -7.33246073]
1,True,[ 1.80134497e+02  4.06309357e+02 -2.09787700e-04],[225.29328346 367.71659851 -19.1787748 ],[248.90251637 310.47224045 -28.73005003],[209.97950077 276.09880447 -38.50035042],[165.59366226 280.30776978 -45.20641744],[207.71178961 246.06225967  -2.63698127],[198.01624775 192.46303558 -26.85024261],[200.35281658 205.71416855 -39.92353588],[200.52370548 232.81621933 -44.47618335],[170.04530311 259.58911896  -4.39956944],[161.17411137 218.49210739 -31.04632527],[178.93286705 273.78082275 -36.40838295],[187.55951643 300.89084625 -31.79793924],[139.50113297 278.44341278 -10.74412264],[132.19587922 250.37145615 -39.90198165],[154.81212616 295.71659088 -34.57077742],[161.85522079 313.39805603 -22.1583429 ],[109.22815561 302.70578384 -18.63338783],[110.20508051 275.92172623 -33.73806149],[130.6272912  304.84376907 -23.44446748],[136.1530602  318.56716156 -11.17385946]
2,True,[ 1.78766141e+02  4.04362030e+02 -1.75273617e-04],[223.85175705 366.91795349 -19.06852797],[248.51825237 311.55118942 -28.56859982],[210.88301897 277.08208084 -38.22589874],[166.63977742 280.20936966 -44.9534744 ],[206.15926266 246.28505707  -1.24354636],[196.51972532 195.68714142 -24.79912519],[200.2569437  204.87819672 -37.2865355 ],[201.01916313 230.40998459 -41.42642319],[168.69212866 259.35417175  -2.76171505],[160.96287131 220.16269684 -28.84958267],[178.13007116 275.82937241 -33.24143171],[186.11309767 302.07103729 -27.73876458],[138.27768087 278.09049606  -8.95374812],[131.59041882 251.96269989 -38.08795273],[153.55054379 296.99188232 -32.16330975],[159.91518974 313.55846405 -19.21906695],[107.65187502 302.48167038 -16.64828628],[108.43709707 277.86651611 -32.15662301],[128.67222905 306.25520706 -21.96213797],[134.04395342 318.56529236  -9.60630946]
3,True,[ 1.77865155e+02  4.03285675e+02 -1.03806371e-04],[223.23403358 366.95777893 -20.31331569],[248.78688097 312.90531158 -31.20657384],[213.40779305 277.79335022 -42.18970478],[168.09443593 282.91820526 -50.20619988],[204.28364754 246.40314102  -1.22288388],[195.40697336 197.73645401 -24.41599041],[200.03017902 201.48960114 -36.44881994],[200.10837078 225.78769684 -40.20116597],[167.00601697 259.31600571  -2.47665994],[159.98684764 219.66878891 -27.59055376],[176.82706475 275.84054947 -30.51568508],[183.9772439  301.44964218 -23.76497   ],[137.04622507 277.95240402  -8.61641541],[130.78673244 252.0980072  -36.889126  ],[152.82268882 296.93706512 -29.58161116],[158.11936498 312.96186447 -15.77385664],[106.40522718 302.57650375 -16.52354479],[107.77041793 279.5800972  -31.10155195],[127.61768103 306.62689209 -20.27482465],[131.66105747 317.77627945  -7.63453715]
4,True,[ 1.78557358e+02  4.06245956e+02 -1.86091777e-04],[223.77305031 368.36673737 -19.42557827],[248.97431374 312.71007538 -28.97854328],[212.64707565 276.81159973 -38.61324459],[167.77412653 279.38323975 -45.1877439 ],[205.80128431 247.66321182  -1.22022112],[195.65605402 196.97423935 -25.04009753],[200.11789799 209.41608429 -38.15537542],[201.55283689 235.51412582 -42.8040567 ],[168.67665768 260.51055908  -2.75228223],[160.61951637 220.36266327 -28.94055516],[177.95696139 276.46993637 -34.04661745],[185.70851326 303.28086853 -29.15981233],[138.1691587  279.28678513  -8.96914534],[131.03450418 251.77309036 -37.99577057],[153.19394946 297.05852509 -32.48954415],[159.56181407 314.22805786 -19.87177849],[107.30445385 303.76174927 -16.72375962],[107.76548266 277.91873932 -32.04271495],[128.1736815  306.32564545 -21.85902581],[133.56542587 319.48572159  -9.53622401]
5,True,[ 1.78281240e+02  4.04712181e+02 -1.40575863e-04],[223.18461657 367.79712677 -19.42919657],[249.36104536 315.35429001 -29.86675143],[216.08607531 277.48743057 -40.47618091],[173.51060987 273.97808075 -48.33243549],[204.67700958 247.85095215  -1.06257772],[195.01955509 198.53860855 -24.1688785 ],[200.29367924 203.94798279 -36.66952014],[201.60090208 230.62604904 -40.68536907],[167.28734851 260.59141159  -2.03604659],[160.95537186 220.43485641 -28.40528816],[177.42653847 276.90259933 -32.79767096],[184.95077848 306.24052048 -26.8796584 ],[137.24560976 279.62253571  -7.54684836],[131.56314611 252.06789017 -36.5689373 ],[152.78397918 296.62755966 -29.90435064],[158.46482277 315.05905151 -16.31055728],[106.37480021 304.6320343  -14.56295863],[107.90910959 278.20833206 -30.79442561],[127.41534591 306.2783432  -20.6335178 ],[132.6352787  319.53071594  -7.96876855]
6,True,[ 1.77687474e+02  4.07041473e+02 -1.99708277e-04],[222.83635855 369.36481476 -18.72665092],[247.76442289 314.59211349 -28.16025764],[211.43645525 278.82581711 -37.81340182],[167.68108606 278.10800552 -44.52629238],[205.67442656 248.23015213  -1.38044614],[196.49088621 196.84127808 -25.63710898],[200.20402908 209.09227371 -39.39051121],[200.55874586 236.55099869 -44.3680796 ],[168.03417206 260.77293396  -3.22469518],[160.44515133 219.557724   -29.97663885],[176.64039373 275.58069229 -35.79892606],[184.00704861 304.50653076 -31.39034271],[137.17351198 279.61305618  -9.66876402],[131.00727439 251.16214752 -39.00735497],[152.22302198 296.80025101 -33.90899599],[158.37251186 315.03664017 -21.57564238],[106.31839871 304.15304184 -17.55264133],[108.21232796 278.06575775 -33.34846795],[127.65686274 306.70368195 -23.57584208],[132.6629591  319.81307983 -11.54689506]
7,True,[ 1.77338734e+02  4.07312622e+02 -1.79485687e-04],[222.38536119 369.57328796 -17.66480058],[247.38423586 315.16695023 -26.95141017],[212.06512213 280.29397964 -36.73841536],[168.38513374 281.29529953 -43.92614812],[204.80599165 248.1567955   -0.53494215],[195.38075209 196.20529175 -23.70891988],[199.02319193 202.37323761 -36.69610888],[198.7537694  228.05381775 -41.27042592],[167.21456409 261.10658646  -2.86959182],[160.60312271 220.39424896 -28.33281219],[176.31352901 276.47369385 -32.88277745],[183.09792995 305.15882492 -27.79321343],[136.63211346 280.02500534  -9.71818171],[131.26954079 251.58542633 -37.82878965],[151.80358887 296.9185257  -31.72020346],[156.95117712 314.6878624  -19.11581263],[105.70340037 304.65528488 -18.03662583],[107.65843034 278.71639252 -32.86762297],[126.61804318 306.60419464 -22.42754549],[130.94533682 318.99341583 -10.27072348]
8,True,[ 1.77491416e+02  4.07636986e+02 -2.81221139e-04],[223.64061356 369.97882843 -18.46671939],[248.24037552 313.12608719 -27.31623352],[209.10505772 277.237854   -36.14410758],[165.54168105 276.86122894 -41.39252543],[205.34365654 249.77779388  -4.17163197],[195.88120937 196.44260406 -29.48933512],[200.22604465 222.45363235 -43.24451566],[201.8553257  251.0757637  -48.43836129],[168.00700665 262.80807495  -6.35345444],[159.18691635 219.8739624  -33.93510461],[176.72148228 276.58590317 -40.06714404],[183.48285913 302.79291153 -36.40980452],[137.13316083 281.8132782  -12.93591052],[129.98632908 251.15594864 -42.81867474],[152.42604375 298.08729172 -37.34655797],[158.60826731 315.13908386 -24.90175724],[106.70492649 305.59070587 -20.78646541],[107.75529027 277.23537445 -36.19753182],[127.8501749  306.66139603 -25.71536243],[132.56119609 319.77249146 -13.32598016]
9,True,[ 1.77305614e+02  4.07898026e+02 -2.26652351e-04],[222.9990077  370.47122955 -18.75980437],[248.18821192 314.91853714 -28.11293006],[211.10905409 279.3249321  -37.52782971],[167.18100429 279.58011627 -43.6945501 ],[205.00215769 249.82702255  -2.92803582],[195.73780775 197.0466423  -27.58363903],[199.28718567 214.04054642 -41.16931468],[199.74429846 240.92351913 -46.2087214 ],[167.69142866 262.71400452  -5.06566554],[160.7012701  220.49024582 -31.9202587 ],[177.1572876  277.21363068 -37.46504724],[183.33175421 304.14768219 -33.21580321],[136.82203531 281.72065735 -11.75890356],[131.36766672 252.13161469 -41.11178398],[152.67988801 298.6730957  -35.45534849],[157.70658374 315.51094055 -22.95897961],[106.07282639 305.93490601 -19.86555845],[108.45021844 279.19281006 -34.82399672],[127.83756852 307.84490585 -24.24462944],[131.54392004 320.0315094  -11.96341798]
