,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_0,23.9,3.7,9.0,15.3,8.0,1.8,6.6,9.0,0.8,11.4,10.2,4.0,15.7,4.2,7.7
angles for frame_1,23.9,3.8,9.4,15.7,7.7,1.7,6.6,8.5,0.8,11.4,9.9,3.9,15.6,4.4,7.5
angles for frame_2,24.3,3.6,9.1,15.4,7.5,1.3,6.5,8.2,0.9,11.2,9.8,3.9,15.6,4.0,7.7
angles for frame_3,24.8,3.7,9.8,14.7,7.3,1.2,6.1,8.1,1.0,11.0,9.7,4.2,16.3,4.0,7.7
angles for frame_4,24.6,3.9,8.7,14.7,7.4,1.3,6.2,8.2,1.1,11.1,9.8,4.3,16.6,4.0,7.9
angles for frame_5,24.6,6.1,8.5,15.3,7.1,1.0,6.3,7.7,1.0,11.2,9.4,4.2,16.6,4.3,7.6
angles for frame_6,24.5,5.4,9.4,15.2,7.0,0.9,6.3,7.7,1.1,11.2,9.4,4.3,16.3,4.2,7.8
angles for frame_7,24.9,4.6,9.6,15.0,7.4,1.1,6.5,8.5,1.1,11.1,10.6,4.5,15.9,4.8,8.1
angles for frame_8,24.9,5.1,9.7,13.6,4.6,1.1,4.7,3.1,1.4,9.5,6.3,4.5,15.7,5.9,7.7
angles for frame_9,24.2,5.7,8.2,13.4,4.6,0.7,4.6,3.0,1.0,9.0,6.4,4.6,15.2,5.5,7.6
angles for frame_10,24.7,5.9,9.0,13.9,5.3,1.3,4.8,4.3,1.1,9.5,7.3,4.7,16.0,5.3,7.7
angles for frame_11,24.9,5.4,9.3,13.9,5.3,1.2,4.7,4.2,1.0,9.5,7.2,4.5,16.3,5.2,7.8
angles for frame_12,24.5,5.7,8.9,14.0,5.2,1.1,4.8,4.1,1.1,9.6,7.0,4.6,16.4,5.6,7.8
angles for frame_13,25.1,5.3,8.8,13.2,5.1,0.5,4.9,3.8,0.8,9.4,7.1,4.5,15.7,4.7,7.6
angles for frame_14,24.4,5.5,8.6,13.4,4.2,1.0,4.7,1.9,1.0,8.9,5.8,4.6,15.4,5.7,7.9
angles for frame_15,24.7,5.4,9.2,14.4,5.4,1.2,5.0,4.5,1.1,9.6,7.3,4.3,16.0,5.4,7.3
angles for frame_16,24.4,5.3,9.1,14.8,5.9,1.3,5.3,5.4,1.0,10.1,7.2,4.0,15.4,5.3,7.3
angles for frame_17,24.2,5.3,10.5,14.7,6.9,0.8,5.8,7.3,1.4,10.9,9.4,4.7,15.0,4.9,8.1
angles for frame_18,23.5,5.4,9.8,14.6,6.9,1.2,5.9,7.4,1.1,10.9,8.6,4.5,14.0,5.5,8.0
angles for frame_19,22.9,5.3,8.5,14.6,7.0,0.9,6.2,8.1,1.3,10.4,10.4,5.0,12.4,5.9,8.2
angles for frame_20,22.8,6.0,9.0,14.8,7.0,1.6,7.0,8.5,1.5,11.4,10.4,5.0,12.6,5.9,7.8
angles for frame_21,22.4,5.5,6.3,13.8,7.2,1.9,7.1,8.8,1.4,10.8,10.7,5.0,10.7,6.8,8.2
angles for frame_22,22.0,6.4,4.2,13.6,7.6,2.9,7.4,8.6,1.6,11.4,10.4,4.9,10.9,7.0,8.2
angles for frame_23,20.4,8.5,2.8,13.1,8.4,2.8,7.6,9.6,2.3,12.7,12.1,6.1,12.4,6.9,8.9
angles for frame_24,21.6,8.1,3.2,12.4,9.2,2.9,7.7,9.3,2.4,12.5,11.4,6.4,12.6,8.7,9.3
angles for frame_25,21.3,9.6,7.1,11.2,10.6,3.1,8.3,11.9,2.9,12.6,14.1,7.9,13.2,10.8,12.9
angles for frame_26,20.9,12.8,9.4,12.0,13.3,3.7,12.8,14.3,5.6,14.0,20.5,13.0,14.3,14.6,18.3
angles for frame_27,21.9,13.5,16.2,12.1,15.0,3.7,13.5,15.2,9.5,14.3,25.4,21.8,15.4,17.8,24.8
angles for frame_28,22.7,15.4,18.8,12.5,14.7,1.5,14.9,16.3,16.5,16.5,27.4,38.4,18.7,22.9,36.2
angles for frame_29,23.7,17.4,22.2,14.5,18.4,4.8,18.2,20.3,23.7,21.4,31.9,58.3,23.8,26.8,52.0
angles for frame_30,24.6,20.9,32.1,20.8,15.8,26.9,18.6,30.5,78.8,16.4,38.9,90.1,17.0,30.9,85.3
angles for frame_31,24.6,25.3,37.8,22.7,24.6,35.3,19.6,39.4,65.3,18.1,48.7,78.4,17.3,40.5,79.1
angles for frame_32,26.0,35.9,31.5,29.3,28.0,64.0,20.9,48.4,82.6,19.8,55.4,83.7,19.7,47.4,84.5
angles for frame_33,27.5,36.7,36.8,28.5,49.0,72.9,19.2,75.5,61.1,16.3,74.1,67.4,16.9,59.7,71.8
angles for frame_34,26.0,39.3,39.3,28.1,56.4,72.6,19.3,86.7,55.0,15.4,92.6,56.3,15.1,70.7,69.4
angles for frame_35,27.8,40.2,43.6,25.5,60.3,71.5,17.7,99.0,46.9,14.4,112.3,41.7,16.9,85.3,59.7
angles for frame_36,25.6,43.1,47.6,24.1,84.9,56.3,16.5,126.9,26.5,13.4,136.7,25.6,14.9,117.2,40.2
angles for frame_37,26.5,43.8,46.4,23.6,89.5,55.8,16.4,136.7,22.2,14.5,145.9,21.7,16.7,128.3,32.3
angles for frame_38,26.2,45.5,45.8,22.7,111.2,35.6,16.8,142.5,16.8,15.4,149.9,18.4,18.2,135.4,25.9
angles for frame_39,26.5,49.1,45.9,21.0,124.1,24.6,14.9,145.9,14.7,15.0,152.3,17.6,20.0,140.7,24.4
angles for frame_40,25.6,50.3,44.6,21.8,126.1,21.7,14.6,148.2,14.4,15.7,155.4,16.6,22.8,145.1,21.0
angles for frame_41,24.6,54.3,39.8,22.5,129.7,15.6,15.7,147.0,14.4,17.3,155.4,17.0,25.2,146.9,20.7
angles for frame_42,25.2,55.4,44.7,22.9,136.7,8.5,15.9,149.3,10.9,16.7,157.5,15.1,25.3,149.3,19.4
angles for frame_43,26.1,55.9,41.3,25.1,133.9,8.6,16.2,149.5,11.6,18.1,158.8,15.5,30.7,147.2,19.9
angles for frame_44,23.4,59.6,45.1,25.5,135.5,6.1,17.6,149.9,11.6,19.4,158.6,16.9,30.8,147.2,19.8
angles for frame_45,25.1,62.9,47.3,25.2,140.6,3.9,17.4,151.8,12.8,19.7,159.3,19.3,32.3,147.0,22.1
angles for frame_46,24.8,65.9,48.2,26.4,141.2,6.2,19.2,151.0,16.1,21.7,158.7,23.2,33.6,147.0,24.2
angles for frame_47,26.9,66.2,52.7,28.4,143.3,6.4,18.8,155.3,14.0,19.9,161.8,23.6,31.3,150.0,24.5
angles for frame_48,28.0,67.7,50.9,28.3,144.4,7.9,17.2,157.4,15.5,19.0,162.6,27.1,32.2,149.9,27.7
angles for frame_49,25.8,68.5,53.2,28.4,141.2,5.6,19.4,152.8,15.8,23.0,157.6,25.7,37.3,144.2,27.9
angles for frame_50,29.2,68.7,53.2,26.1,144.0,5.6,18.1,154.9,22.5,23.3,158.9,34.1,39.7,145.3,35.6
angles for frame_51,28.2,71.1,60.3,28.4,143.5,5.7,21.2,151.8,23.6,25.0,156.8,33.5,39.4,143.5,32.3
angles for frame_52,28.0,71.0,59.6,28.8,142.9,5.1,22.1,151.0,20.9,25.5,156.4,31.4,39.4,143.8,31.5
angles for frame_53,26.7,71.3,59.9,27.9,143.4,6.6,21.6,151.3,25.2,26.2,155.2,36.7,40.5,143.0,34.0
angles for frame_54,30.0,68.0,56.2,29.4,141.5,6.3,21.2,152.5,23.9,25.7,156.3,38.0,41.8,143.0,37.2
angles for frame_55,31.3,68.4,54.3,28.3,144.8,3.2,19.4,153.5,23.5,24.2,156.7,35.3,44.1,140.4,36.2
angles for frame_56,30.4,67.6,52.0,32.1,140.7,6.8,20.5,154.0,22.3,24.2,157.5,38.7,40.3,143.9,38.2
angles for frame_57,30.8,68.7,55.0,29.7,142.0,7.1,20.5,153.7,26.6,25.6,156.6,41.9,42.2,142.4,40.1
angles for frame_58,27.9,69.2,52.5,27.8,142.3,7.6,19.1,151.4,28.2,25.0,154.8,39.7,46.2,138.2,41.5
angles for frame_59,29.1,68.8,51.4,28.5,142.1,5.6,19.7,151.7,24.4,24.6,155.9,36.5,43.9,140.6,37.8
angles for frame_60,29.6,66.5,49.0,29.3,141.2,4.5,19.6,151.1,19.8,25.3,153.9,32.5,46.9,138.5,40.1
angles for frame_61,29.7,66.6,52.9,30.2,141.4,4.5,19.0,153.6,20.4,24.2,155.6,34.4,44.1,139.9,38.8
angles for frame_62,28.8,68.4,55.4,29.7,141.3,6.4,19.9,153.2,22.3,24.3,156.3,36.1,42.7,140.9,38.4
angles for frame_63,30.4,68.4,55.8,28.3,141.8,7.4,20.9,152.9,25.8,25.7,156.3,40.2,42.7,142.2,40.5
angles for frame_64,27.4,69.5,59.5,27.1,141.0,9.5,22.6,148.9,27.5,29.8,150.8,40.7,45.9,139.4,41.0
angles for frame_65,27.6,70.0,57.8,26.8,142.0,8.0,22.6,148.9,24.5,29.6,150.9,36.9,44.8,140.1,37.0
angles for frame_66,28.1,70.1,60.5,26.8,142.5,8.7,21.4,150.7,24.5,27.4,152.8,36.0,44.1,139.4,36.4
angles for frame_67,26.9,69.6,62.2,27.5,141.5,9.7,22.2,149.4,28.4,28.0,152.6,39.2,43.3,140.3,37.5
