,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
0,True,[2.91052905e+02 6.65010052e+02 6.82535961e-04],[372.23786831 598.9780426  -25.20132177],[417.25874662 519.00913239 -29.53422323],[451.15339279 449.21095848 -34.96188641],[480.83894491 406.45159721 -40.06590217],[309.83044982 429.30808067  15.88245761],[334.67122436 348.45219612   8.63999035],[350.2819705  298.05596352  -3.43805267],[360.63482523 261.17620468 -12.94046491],[250.87635398 429.69740868  13.96412462],[239.86340225 332.91392326   9.9274205 ],[234.87978816 276.94004059  -1.26857062],[230.4922843  230.36755085  -9.91181206],[199.65641856 447.32377052   5.27344303],[174.09603417 361.81909561  -7.72163032],[163.3038336  306.45183563 -24.83194135],[156.92290664 261.28294945 -36.3084653 ],[152.30251729 483.83411407  -6.4402286 ],[ 98.02096903 434.94257927 -23.78335118],[ 63.60704184 399.39082146 -33.97225991],[ 37.1657449  364.92542267 -39.71034586]
1,True,[2.91813955e+02 6.64841309e+02 6.69234089e-04],[372.99882174 598.95881653 -23.97974722],[417.6140213  519.26015854 -27.95892902],[450.77236891 450.26015282 -33.15158039],[480.48286557 407.8553009  -38.06372434],[309.47453141 429.28290367  15.55439662],[334.83534336 348.40899467   8.39675188],[350.53888321 297.9339695   -3.36114904],[360.96689343 261.43896103 -12.58158837],[250.34854352 429.93616104  13.02025829],[239.36929107 332.53326416   8.800596  ],[234.40468311 276.58573151  -1.9946394 ],[230.11983812 230.70130348 -10.18616684],[199.38206077 447.73962021   3.92409283],[173.6398387  361.38502121  -9.42080788],[163.1180048  306.09103203 -26.17780007],[156.85708523 261.41962051 -37.206489  ],[152.70550847 484.32014465  -8.02876102],[ 98.02047014 435.24032593 -25.89350671],[ 63.2151711  399.44535255 -36.03057906],[ 36.2911731  364.91352081 -41.51208624]
2,True,[2.92255554e+02 6.65842724e+02 6.74781370e-04],[373.73837113 599.92177963 -24.84090529],[418.17316532 519.62505341 -29.1203852 ],[451.42289042 450.20018578 -34.57844451],[480.60440183 407.86108017 -39.7141479 ],[310.18401861 428.75953674  14.82163254],[335.32557607 347.14576721   7.34705228],[351.18814945 296.53278351  -4.42730399],[361.97603703 260.06326675 -13.55289973],[250.82846045 429.80392456  12.66347487],[239.39407468 331.76882744   8.23478786],[233.97948325 275.70167542  -2.42084409],[229.31918263 229.73071575 -10.45991007],[199.68601406 447.87094116   3.80816809],[173.34063292 360.86671829  -9.66179632],[162.37790823 305.89490891 -26.32893384],[155.78141212 261.49861336 -37.2806628 ],[152.71159172 484.52705383  -8.02550666],[ 97.82842934 435.21111488 -26.0110116 ],[ 62.7332747  399.64353561 -36.21654868],[ 35.70006788 365.31560898 -41.72955438]
3,True,[2.90780543e+02 6.64501133e+02 6.69047031e-04],[373.26764345 599.68517303 -25.79141714],[418.10560584 519.50077057 -30.62413685],[451.56801939 450.00034332 -36.48370475],[481.66729689 407.65113831 -42.14552879],[311.08948946 429.00166512  12.61326291],[335.7856822  347.73287773   4.3879072 ],[351.33028507 296.84995651  -7.70843737],[362.02489614 260.10160446 -17.0801045 ],[251.18104756 429.93478775  10.58918014],[239.32136536 332.28961945   5.4574186 ],[233.76689136 276.25216484  -5.45885693],[229.12142873 230.06292343 -13.63813765],[199.93541121 448.00460815   1.87949569],[173.23844075 361.74430847 -12.46115752],[162.22387969 306.69962883 -29.42536645],[155.71922779 261.93325996 -40.51345557],[153.15396309 484.67657089  -9.8404425 ],[ 98.5363394  436.30456924 -28.7739256 ],[ 63.2318598  401.41433716 -39.30135593],[ 35.81513464 367.66674042 -44.95427236]
4,True,[2.91021105e+02 6.66001453e+02 6.72993115e-04],[373.24788094 600.69580078 -26.19679414],[418.23032856 520.4252243  -31.0705255 ],[451.6211915  450.44780731 -36.86009377],[481.00837469 407.01805115 -42.3455961 ],[310.81168771 429.10780907  12.99535699],[335.24659038 347.50067711   4.85309226],[350.79328537 296.63394928  -7.24184414],[361.36458993 259.92616653 -16.57415673],[250.98190963 430.03612518  11.21123672],[238.76085341 332.33665466   6.1101987 ],[233.2154882  275.96059799  -4.90759056],[228.40156138 229.47169304 -13.08082424],[199.9018085  448.2847023    2.64378168],[172.98537433 362.38746643 -11.71300225],[161.88730538 307.12720871 -28.82367387],[155.1621598  261.8816185  -39.92194399],[153.2278955  485.31188965  -8.97050254],[ 98.40221822 436.97001457 -28.04282717],[ 62.7974385  401.91083908 -38.74550298],[ 35.02568007 367.71337509 -44.43246067]
5,True,[2.89670044e+02 6.64376564e+02 6.62772882e-04],[373.38248491 599.91691589 -25.97328097],[419.33152556 520.77444077 -30.41505329],[450.60886145 451.10192299 -35.73888078],[478.13016057 408.0393219  -40.71347862],[309.31453228 429.13144112  14.21566721],[334.5189178  348.78238678   6.48058997],[350.60196877 297.98913002  -5.21480726],[361.84329987 262.08309174 -14.13363487],[249.73576069 430.49603462  12.57288191],[237.76044846 332.37645149   8.0094647 ],[232.4647218  275.92483521  -2.16362938],[228.14414978 229.44487095  -9.72677886],[198.98365617 448.63772392   4.01631723],[171.70063376 361.80341721 -10.21895483],[160.20638108 306.25302315 -26.91089608],[153.25298488 261.21631622 -37.64521122],[152.42971838 485.59324265  -7.59754479],[ 96.8461293  436.56469345 -26.57723665],[ 61.2105149  400.99250793 -37.16040999],[ 33.30070853 366.4900589  -42.7809146 ]
6,True,[2.89438913e+02 6.63335838e+02 6.64100521e-04],[372.49729156 598.6633873  -25.34467041],[417.90514827 519.5447731  -29.61030208],[449.50830817 450.37837029 -34.88150865],[477.90263414 407.99632072 -39.85086411],[308.76095653 429.38655853  14.21599209],[333.69513631 348.97873878   6.58950258],[349.69720602 297.99393654  -4.91798177],[361.02357388 261.80242538 -13.70168589],[248.88814509 430.59625626  12.33023789],[236.52033448 332.74028778   7.73313599],[231.37050927 276.36222839  -2.37062207],[227.24365175 229.56913948  -9.81689706],[198.06254268 448.54431152   3.64259315],[170.86017966 362.45063782 -10.46809349],[159.43250477 306.87314987 -27.03516014],[152.42363513 261.22037888 -37.66749233],[151.53039515 485.19882202  -8.04774905],[ 96.47751331 436.64995193 -26.7670083 ],[ 61.04765117 401.3856411  -37.22593367],[ 33.1872189  366.80136681 -42.76071757]
7,True,[2.90791841e+02 6.61846962e+02 6.58853319e-04],[373.60853076 596.98963165 -24.1581852 ],[417.69905806 517.61083603 -28.11257333],[449.39304829 448.62922668 -33.28721434],[478.41291904 405.85289955 -38.32250789],[308.69471669 428.97431374  14.62972954],[332.62129784 348.68359566   7.00563239],[348.10258985 297.98395157  -4.80906313],[358.94786596 261.15520477 -14.06896211],[248.42422485 430.11803627  12.04710424],[236.08457744 333.19458961   7.36211205],[230.79908609 277.08051682  -3.67839661],[226.6199255  230.00614643 -12.07458045],[197.09047794 448.07044029   2.86455045],[169.62301075 362.76317596 -11.02928236],[159.16443944 306.91217422 -28.11391711],[153.39323759 260.83808899 -39.42009598],[150.45312881 484.75513458  -9.21035539],[ 94.89153922 436.84043884 -27.58129679],[ 59.79588568 401.44683838 -38.17810714],[ 32.69019485 366.58018112 -44.06733289]
8,True,[2.88255447e+02 6.61878662e+02 6.55028052e-04],[372.53540039 596.91741943 -23.53083998],[417.14841127 517.45765686 -27.5273522 ],[448.7200284  448.19289207 -33.33716579],[477.5415659  405.63194275 -38.66026103],[308.90325308 427.12895393  18.05143699],[331.19662642 347.89621353  12.1294665 ],[345.96189737 295.23076057   3.74946442],[356.62577033 259.90822792  -1.98346427],[248.90288651 429.68679428  15.68868075],[236.19723022 331.99871063  15.07624794],[229.71573651 275.95487595  11.76816087],[224.94345903 229.28326607   9.98104524],[197.94509411 447.46313095   6.00275209],[169.74248707 359.66614723  -4.63985413],[157.13726878 304.06293869 -15.19539535],[149.88574505 259.96685028 -21.04665913],[149.63044167 483.81660461  -7.08985291],[ 93.74912739 435.84789276 -23.61832291],[ 57.76960015 399.85776901 -31.35333225],[ 30.03678739 365.64202309 -34.23642263]
9,True,[2.86399670e+02 6.61026478e+02 6.27975419e-04],[370.22318602 596.46068573 -23.89837973],[415.84569454 517.51893997 -28.42074506],[447.42297649 448.56004715 -34.63132292],[474.72267151 405.96676826 -40.27969703],[308.15910101 427.50958443  15.44831391],[330.64829707 347.16871262   8.46868571],[345.13444662 294.32401657  -0.55646764],[355.46506047 258.27664375  -6.79403074],[247.83881664 430.06559372  13.07647001],[235.05171239 332.27923393  11.53585777],[228.60483527 276.30077362   7.80993652],[223.73693168 229.89875793   5.38552601],[196.75599575 447.64520645   3.48828575],[168.2905376  359.38851357  -7.32992705],[155.66811562 303.77494812 -18.00679833],[148.776775   259.73705292 -24.35889021],[148.58367205 483.28451157  -9.54977721],[ 92.59965062 434.92527008 -26.09408699],[ 56.55618489 398.94824982 -34.06457484],[ 29.02997732 364.79384422 -37.45271578]
