,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_0,154.64468628933002,172.52931060339048,169.54859797639782,172.5033559937099,171.6143954056636,175.44606570030118,172.06489772696358,173.83276224978954,176.12555339986446,169.9007724198385,174.18905492650273,174.769119992756,165.12843336070623,176.2468038409791,170.81625936029593
angles for frame_1,157.30754453565888,173.73001656037584,170.27960454974232,172.57897558555212,170.72073261606943,173.84894533186204,173.19515620988074,173.38011099997257,174.0479122326149,170.88540270868543,173.89206790810277,176.21128198832764,168.10577704712708,177.71300666193838,173.03966162789501
angles for frame_2,157.73918384356597,173.2625525997714,171.15279496089553,172.56798102254731,170.5736096682843,174.21924724210277,172.97565741407217,173.206556005878,174.95989573941432,170.86147040511804,173.67824349027129,176.4396304023109,167.83941763515983,178.01698387032545,172.97343981667186
angles for frame_3,158.27816078248853,173.7569738198228,171.4631956644647,172.4985055253994,170.3290538530881,174.59435534882627,172.9208902540792,172.98297395882187,175.27281062214237,170.8756900125464,173.49834206471067,176.40488999670688,168.09060470354535,177.71972234894477,172.9115309215156
angles for frame_4,157.6035668875295,173.83556667836544,171.54910779708038,172.812509916536,170.59793533683785,174.629171488309,173.07579318025284,172.83714646168468,175.10729320188045,171.00496327892233,173.23107199415682,176.48358886555778,167.96120233790592,178.12132296470514,172.81173715153514
angles for frame_5,158.1740861841579,174.1277870296487,171.505601127534,172.55066953566265,170.49482107656831,174.57461550165786,172.97359580112285,172.90329447451975,175.02391073128442,170.7619898839009,173.37634585281802,176.4411088688489,168.062589560548,177.89830649827417,172.97389455980883
angles for frame_6,158.32551357699677,173.91208014451075,171.36349002112675,172.69598872021146,170.31750675874946,174.58768804827073,173.11402197276652,172.9370156542671,175.142157143853,170.93147502143697,173.33422775704128,176.54784296916154,168.0544386761522,177.9699031851246,172.91127624148163
angles for frame_7,157.5450366915917,173.87049228432417,170.5203351577755,172.87226359659016,170.56092658485053,174.66486739921592,173.2143161816271,172.97990337189657,175.06505540394892,171.01734061938754,173.25733715920347,176.50072115307296,167.98092367099957,178.12230599633594,172.91020380331344
angles for frame_8,157.70702536666326,174.01320639517115,170.93221895830715,172.77659869999053,170.76413653518054,174.65330628784187,173.18990028557187,173.11515072475166,175.10985278457235,171.08009154405124,173.5093985194759,176.44487143244896,168.09472508533332,177.93230533738878,172.92559167093873
angles for frame_9,158.43632402411387,174.12553734666733,171.46041040316533,172.48745401115522,170.41366727938882,174.49695437941955,172.94678993037286,172.95897169979807,174.96332178888682,170.62527706618906,173.44300243369088,176.29409453264046,167.9274783182376,177.82772891229888,172.97655706648808
